"EEC_MEASURE";"UNIT_MEASURE";"PCS";"SEX";"AGE";"EMPFORM";"EMPSTA";"EDUC";"IMMI";"WKTIME";"ACTIVITY";"UNDEREMP";"UNEMPDUR";"COMPOHALO";"OBS_STATUS";"TIME_PERIOD";"OBS_VALUE"
"UNEMPB";"_Z";"_T";"F";"Y25T29";"_T";"2_BIT";"_T";"_T";"_T";"_T";"_T";"LT";"_T";"A";2024;29.9
"EMP";"_Z";"55";"M";"Y15T24";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;112
"EMP";"_Z";"10";"F";"Y50T64";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;48.5
"PT_AGE_IN_EMP_BY_PCS";"PT";"23";"_T";"Y50T64";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;42.8
"PT_AGE_IN_EMP_BY_PCS";"PT";"5_NP";"_T";"Y25T29";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;14.7
"PT_AGE_IN_EMP_BY_PCS";"PT";"21";"_T";"Y15T24";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;1.9
"PT_AGE_IN_EMP_BY_PCS";"PT";"2_NP";"_T";"Y50T54";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;100
"PT_AGE_IN_EMP_BY_PCS";"PT";"_X";"F";"Y60T64";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;1.8
"PT_AGE_IN_EMP_BY_PCS";"PT";"60";"F";"Y_GE15";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;19.6
"PT_AGE_IN_EMP_BY_PCS";"PT";"65";"_T";"Y45T49";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;11.3
"EMP";"_Z";"30";"M";"Y_GE15";"_T";"1_BIT";"_T";"_T";"_T";"C31T33";"_T";"_T";"_T";"A";2024;45.3
"PT_PCS_IN_EMP_BY_ACTIVITY";"PT";"50";"_T";"Y_GE15";"_T";"1_BIT";"_T";"_T";"_T";"S";"_T";"_T";"_T";"A";2024;28.7
"PT_PCS_IN_EMP_BY_ACTIVITY";"PT";"_T";"_T";"Y_GE15";"_T";"1_BIT";"_T";"_T";"_T";"J58T60";"_T";"_T";"_T";"A";2024;100
"PT_AGE_IN_EMP_BY_PCS";"PT";"_T";"M";"Y60T64";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;3
"PT_AGE_IN_EMP_BY_PCS";"PT";"23";"F";"Y15T19";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;0
"PT_AGE_IN_EMP_BY_PCS";"PT";"2_NP";"F";"Y60T64";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;0
"PT_AGE_IN_EMP_BY_PCS";"PT";"2_NP";"F";"Y30T34";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;0
"EMP";"_Z";"60";"F";"Y_GE15";"_T";"1_BIT";"_T";"_T";"_T";"E";"_T";"_T";"_T";"A";2024;11.2
"EMP";"_Z";"20";"_T";"Y_GE15";"_T";"1_BIT";"_T";"_T";"_T";"G";"_T";"_T";"_T";"A";2024;384.4
"EMP";"_Z";"40";"_T";"Y20T24";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;581.3
"EMP";"_Z";"64";"_T";"Y55T59";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;92.8
"UNEMPB_T";"_Z";"_T";"_T";"Y35T39";"_T";"2_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;218.1
"PT_UNEMPDUR_LT_IN_UNEMP_BY_AGE";"PT";"_T";"M";"Y30T34";"_T";"2_BIT";"_T";"_T";"_T";"_T";"_T";"LT";"_T";"A";2024;22.4
"EMP";"_Z";"63";"F";"Y50T64";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;47.6
"UNEMP";"_Z";"65";"M";"Y_GE15";"_T";"2_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;39
"UNEMP";"_Z";"_T";"F";"Y25T49";"_T";"2_BIT";"3A";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;100.1
"EMP";"_Z";"4_NP";"F";"Y50T54";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;0.1
"EMP";"_Z";"47";"F";"Y25T29";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;36.2
"PT_AGE_IN_EMP_BY_PCS";"PT";"63";"_T";"Y45T49";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;10.6
"EMP";"_Z";"34";"F";"Y25T29";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;71.9
"PT_AGE_IN_EMP_BY_PCS";"PT";"65";"_T";"Y_GE15";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;100
"PT_AGE_IN_EMP_BY_PCS";"PT";"60";"F";"Y60T64";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;1.6
"PT_AGE_IN_EMP_BY_PCS";"PT";"52";"F";"Y50T54";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;12.9
"PT_AGE_IN_EMP_BY_PCS";"PT";"55";"_T";"Y35T39";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;9.3
"PT_AGE_IN_EMP_BY_PCS";"PT";"35";"F";"Y15T19";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;0.1
"EMP";"_Z";"30";"M";"Y55T59";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;433.3
"PT_AGE_IN_EMP_BY_PCS";"PT";"4_NP";"_T";"Y15T19";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;3.3
"EMP";"_Z";"10";"M";"Y_GE15";"_T";"1_BIT";"_T";"_T";"_T";"A";"_T";"_T";"_T";"A";2024;267.4
"EMP";"_Z";"60";"_T";"Y_GE15";"_T";"1_BIT";"_T";"_T";"_T";"A";"_T";"_T";"_T";"A";2024;216.9
"EMP";"_Z";"10";"_T";"Y_GE15";"_T";"1_BIT";"_T";"_T";"_T";"C29_30";"_T";"_T";"_T";"A";2024;0
"PT_PCS_IN_EMP_BY_ACTIVITY";"PT";"50";"_T";"Y_GE15";"_T";"1_BIT";"_T";"_T";"_T";"RTU";"_T";"_T";"_T";"A";2024;36
"PT_AGE_IN_EMP_BY_PCS";"PT";"45";"M";"Y_GE15";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;38.5
"EMP";"_Z";"50";"F";"Y_GE15";"_T";"1_BIT";"_T";"_T";"_T";"A";"_T";"_T";"_T";"A";2024;20.6
"PT_AGE_IN_EMP_BY_PCS";"PT";"53";"M";"Y15T24";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;8.3
"PT_AGE_IN_EMP_BY_PCS";"PT";"_T";"M";"Y35T39";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;6.2
"EMP";"_Z";"_X";"F";"Y_GE15";"_T";"1_BIT";"_T";"_T";"_T";"C16T18";"_T";"_T";"_T";"A";2024;0.1
"UNEMPRATE";"PT";"62";"F";"Y_GE15";"_T";"2_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;6.7
"EMP";"_Z";"52";"_T";"Y_GE15";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;2263.4
"UNEMPRATE";"PT";"_T";"M";"Y20T24";"_T";"2_BIT";"_T";"21";"_T";"_T";"_T";"_T";"_T";"A";2024;22.7
"UNEMP";"_Z";"23";"F";"Y_GE15";"_T";"2_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;0
"UNEMP";"_Z";"65";"_T";"Y_GE15";"_T";"2_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;43.1
"UNEMP";"_Z";"38";"F";"Y_GE15";"_T";"2_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;19.1
"EMP";"_Z";"4_NP";"_T";"Y_GE15";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;11.8
"EMP";"_Z";"65";"_T";"Y50T64";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;148.2
"UNEMPRATE";"PT";"_T";"M";"Y15T24";"_T";"2_BIT";"6T8";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;13.2
"EMP";"_Z";"_T";"_T";"Y_GE65";"_T";"1_BIT";"_T";"_T";"_T";"J";"_T";"_T";"_T";"A";2024;13.4
"EMP";"_Z";"_T";"_T";"Y50T64";"_T";"1_BIT";"_T";"_T";"_T";"O";"_T";"_T";"_T";"A";2024;936.2
"EMP";"_Z";"_T";"F";"Y50T64";"_T";"1_BIT";"_T";"_T";"_T";"D";"_T";"_T";"_T";"A";2024;24.7
"EMP";"_Z";"_T";"F";"Y25T49";"_T";"1_BIT";"_T";"_T";"_T";"C19";"_T";"_T";"_T";"A";2024;0.6
"EMP";"_Z";"6_NP";"M";"Y35T39";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;1.3
"PT_AGE_IN_EMP_BY_PCS";"PT";"40";"F";"Y45T49";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;6.6
"PT_AGE_IN_EMP_BY_PCS";"PT";"50";"_T";"Y50T54";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;12.8
"PT_AGE_IN_EMP_BY_PCS";"PT";"_T";"F";"Y40T44";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;6.1
"EMP";"_Z";"65";"M";"Y25T29";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;34.4
"PT_AGE_IN_EMP_BY_PCS";"PT";"33";"_T";"Y55T59";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;13
"EMP";"_Z";"3_NP";"M";"Y50T64";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;2.7
"EMP";"_Z";"10";"M";"Y25T49";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;134.7
"PT_AGE_IN_EMP_BY_PCS";"PT";"50";"_T";"Y15T19";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;3.4
"EMP";"_Z";"10";"F";"Y_GE15";"_T";"1_BIT";"_T";"_T";"_T";"Q86";"_T";"_T";"_T";"A";2024;0
"PT_AGE_IN_EMP_BY_PCS";"PT";"10";"M";"Y30T34";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;5
"EMP";"_Z";"10";"_T";"Y_GE15";"_T";"1_BIT";"_T";"_T";"_T";"S";"_T";"_T";"_T";"A";2024;0
"PT_AGE_IN_EMP_BY_PCS";"PT";"60";"M";"Y40T44";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;9
"EMP";"_Z";"10";"F";"Y_GE15";"_T";"1_BIT";"_T";"_T";"_T";"M69T71";"_T";"_T";"_T";"A";2024;0
"EMP";"_Z";"10";"_T";"Y_GE15";"_T";"1_BIT";"_T";"_T";"_T";"F";"_T";"_T";"_T";"A";2024;1.2
"PT_PCS_IN_EMP_BY_ACTIVITY";"PT";"_X";"_T";"Y_GE15";"_T";"1_BIT";"_T";"_T";"_T";"_X";"_T";"_T";"_T";"A";2024;19.2
"EMP";"_Z";"10";"M";"Y_GE15";"_T";"1_BIT";"_T";"_T";"_T";"J";"_T";"_T";"_T";"A";2024;0
"PT_AGE_IN_EMP_BY_PCS";"PT";"55";"M";"Y50T54";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;2.6
"PT_AGE_IN_EMP_BY_ACTIVITY";"PT";"_T";"_T";"Y15T24";"_T";"1_BIT";"_T";"_T";"_T";"C28";"_T";"_T";"_T";"A";2024;7.8
"PT_AGE_IN_EMP_BY_ACTIVITY";"PT";"_T";"_T";"Y25T49";"_T";"1_BIT";"_T";"_T";"_T";"M72";"_T";"_T";"_T";"A";2024;67.2
"PT_PCS_IN_EMP_BY_ACTIVITY";"PT";"_T";"M";"Y_GE15";"_T";"1_BIT";"_T";"_T";"_T";"OTQ";"_T";"_T";"_T";"A";2024;31.2
"EMP";"_Z";"23";"_T";"Y50T54";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;29.4
"EMP";"_Z";"60";"_T";"Y25T49";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;2806
"UNEMP";"_Z";"_T";"_T";"Y15T24";"_T";"2_BIT";"_T";"21";"_T";"_T";"_T";"_T";"_T";"A";2024;110.4
"EMP";"_Z";"37";"_T";"Y25T29";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;212.5
"EMP";"_Z";"37";"_T";"Y50T54";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;277.3
"UNEMPB_T";"_Z";"_T";"F";"Y55T59";"_T";"2_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;86.3
"UNEMPB";"_Z";"_T";"M";"Y25T49";"_T";"2_BIT";"_T";"_T";"_T";"_T";"_T";"VLT";"_T";"A";2024;55.8
"UNEMPRATE";"PT";"_T";"M";"Y65T69";"_T";"2_BIT";"_T";"10";"_T";"_T";"_T";"_T";"_T";"A";2024;9.4
"EMP";"_Z";"55";"F";"Y35T39";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;66.9
"PT_AGE_IN_EMP_BY_PCS";"PT";"50";"_T";"Y45T49";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;11.1
"PT_AGE_IN_EMP_BY_PCS";"PT";"69";"_T";"Y25T29";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;11.3
"PT_AGE_IN_EMP_BY_PCS";"PT";"52";"_T";"Y45T49";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;12.6
"PT_AGE_IN_EMP_BY_PCS";"PT";"34";"F";"Y60T64";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;4.1
"PT_AGE_IN_EMP_BY_PCS";"PT";"6_NP";"F";"Y50T64";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;18.4
"PT_AGE_IN_EMP_BY_PCS";"PT";"6_NP";"_T";"Y55T59";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;17.1
"PT_AGE_IN_EMP_BY_PCS";"PT";"6_NP";"_T";"Y25T29";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;5.5
"EMP";"_Z";"43";"M";"Y60T64";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;26.2
"EMP";"_Z";"22";"M";"Y55T59";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;69.6
"EMP";"_Z";"20";"F";"Y_GE15";"_T";"1_BIT";"_T";"_T";"_T";"OTQ";"_T";"_T";"_T";"A";2024;42.2
"PT_AGE_IN_EMP_BY_PCS";"PT";"38";"M";"Y_GE15";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;76.5
"PT_AGE_IN_EMP_BY_PCS";"PT";"34";"M";"Y15T19";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;0
"PT_PCS_IN_EMP_BY_ACTIVITY";"PT";"60";"_T";"Y_GE15";"_T";"1_BIT";"_T";"_T";"_T";"C22_23";"_T";"_T";"_T";"A";2024;50.4
"EMP";"_Z";"30";"M";"Y_GE15";"_T";"1_BIT";"_T";"_T";"_T";"S";"_T";"_T";"_T";"A";2024;44.8
"EMP";"_Z";"30";"_T";"Y_GE15";"_T";"1_BIT";"_T";"_T";"_T";"R";"_T";"_T";"_T";"A";2024;195.1
"PT_AGE_IN_EMP_BY_PCS";"PT";"35";"M";"Y45T49";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;5.3
"PT_AGE_IN_EMP_BY_PCS";"PT";"31";"M";"Y_GE65";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;7.2
"EMP";"_Z";"10";"F";"Y_GE15";"_T";"1_BIT";"_T";"_T";"_T";"F";"_T";"_T";"_T";"A";2024;0
"PT_PCS_IN_EMP_BY_ACTIVITY";"PT";"50";"F";"Y_GE15";"_T";"1_BIT";"_T";"_T";"_T";"C16T18";"_T";"_T";"_T";"A";2024;6
"PT_PCS_IN_EMP_BY_ACTIVITY";"PT";"_X";"F";"Y_GE15";"_T";"1_BIT";"_T";"_T";"_T";"K";"_T";"_T";"_T";"A";2024;0.1
"PT_PCS_IN_EMP_BY_ACTIVITY";"PT";"40";"_T";"Y_GE15";"_T";"1_BIT";"_T";"_T";"_T";"J62_63";"_T";"_T";"_T";"A";2024;16.2
"EMP";"_Z";"_T";"M";"Y50T64";"_T";"1_BIT";"_T";"_T";"_T";"F";"_T";"_T";"_T";"A";2024;449.4
"EMP";"_Z";"_T";"_T";"Y50T64";"_T";"1_BIT";"_T";"_T";"_T";"C24_25";"_T";"_T";"_T";"A";2024;137.8
"EMP";"_Z";"_T";"F";"Y_GE65";"_T";"1_BIT";"_T";"_T";"_T";"A";"_T";"_T";"_T";"A";2024;8.4
"EMP";"_Z";"_T";"F";"Y15T24";"_T";"1_BIT";"_T";"_T";"_T";"J58T60";"_T";"_T";"_T";"A";2024;11.1
"PT_PCS_IN_EMP_BY_ACTIVITY";"PT";"60";"M";"Y_GE15";"_T";"1_BIT";"_T";"_T";"_T";"M73T75";"_T";"_T";"_T";"A";2024;3.1
"EMPSAL";"_Z";"_T";"_T";"Y50T64";"271";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;60
"HALO";"_Z";"_T";"M";"Y_GE65";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"3";"A";2024;7
"UNEMPRATE";"PT";"_T";"_T";"Y20T24";"_T";"2_BIT";"_T";"22";"_T";"_T";"_T";"_T";"_T";"A";2024;15.1
"EMP";"_Z";"_X";"_T";"Y25T49";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;125.5
"UNEMP";"_Z";"_T";"F";"Y25T29";"_T";"2_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;155.6
"EMP";"_Z";"44";"_T";"Y_GE65";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;1
"EMP";"_Z";"37";"_T";"Y35T39";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;258
"PT_UNEMPDUR_LT_IN_UNEMP_BY_AGE";"PT";"_T";"F";"Y30T34";"_T";"2_BIT";"_T";"_T";"_T";"_T";"_T";"LT";"_T";"A";2024;22.3
"UNEMP";"_Z";"42";"_T";"Y_GE15";"_T";"2_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;59.2
"UNEMP";"_Z";"_T";"_T";"Y_GE65";"_T";"2_BIT";"0T2";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;6.1
"UNEMPRATE";"PT";"_T";"F";"Y15T24";"_T";"2_BIT";"_T";"21";"_T";"_T";"_T";"_T";"_T";"A";2024;22.9
"POP";"_Z";"_T";"_T";"Y64";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;792.9
"POP";"_Z";"_T";"_T";"Y_GE60";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;18374.8
"POP";"_Z";"_T";"_T";"Y57";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;861.9
"POP";"_Z";"_T";"_T";"Y43";"_T";"3_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;103
"POP";"_Z";"_T";"_T";"Y39";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;812.9
"ACTRATE";"PT";"_T";"M";"Y55T59";"_T";"_T";"3A";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;83
"POP";"_Z";"_T";"_T";"Y35T39";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;4190.8
"POP";"_Z";"_T";"_T";"Y27";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;711.1
"POP";"_Z";"_T";"_T";"Y26";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;770.8
"POP";"_Z";"_T";"_T";"Y16";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;878.8
"POP";"_Z";"_T";"_T";"Y15";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;868.6
"POP";"_Z";"_T";"F";"Y65T69";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;2072.8
"POP";"_Z";"_T";"F";"Y44";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;376
"POP";"_Z";"_T";"F";"Y36";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;414.4
